00: 167d
01: 82c7
02: 1dd8
03: 2c88
04: 0000
05: 003f
06: 0000
07: 0000
08: 0000
09: 0000
0a: 0000
0b: 0000
0c: 0000
0d: 06bf
0e: 0081
0f: 0000
10: 009c
11: 0004
12: 0f0f
13: 040f
14: 0004
15: 03ff
16: 0100
17: 0000
18: 0000
19: 0000
1a: 0000
1b: 0000
1c: 0000
1d: 0000
1e: 0000
1f: 0000
20: 289e
21: c1f1
22: 545c
23: 0006
24: 0014
25: 0000
26: 0100
27: 0000
28: 0101
29: 0000
2a: 0000
2b: 0000
2c: 0000
2d: 0000
2e: 0000
2f: 0000
30: 0000
31: 0010
32: 002c
33: 0001
34: 0000
35: 0001
36: 0000
37: 0000
38: 0000
39: 0000
3a: 0000
3b: 0000
3c: 0000
3d: 0000
3e: 0000
3f: 0000
40: 76a2
41: dcfa
42: 000f
43: 0000
44: 0000
45: 0000
46: 0000
47: 0000
48: 0001
49: 0000
4a: 0000
4b: 0000
4c: cbc1
4d: ff7b
4e: 0007
4f: 0000
50: 9391
51: 0000
52: fafe
53: 001e
54: 0018
55: 0303
56: 07ff
57: 07ff
58: 161c
59: 0008
5a: 0100
5b: 0000
5c: 0000
5d: 0000
5e: 0000
5f: 0000
60: 0000
61: 0000
62: 0000
63: 0000
64: 0000
65: 0000
66: 0000
67: 0000
68: 0000
69: 0000
6a: 0000
6b: 0000
6c: 0000
6d: 0000
6e: 0000
6f: 0000
70: 3ee4
71: 1074
72: 0004
73: 0007
74: 0000
75: 0000
76: 0000
77: 0000
78: 0000
79: 0000
7a: 0000
7b: 0000
7c: 0000
7d: 0000
7e: 0000
7f: 0000
80: 0013
81: 000d
82: 000d
83: 0014
84: 0021
85: 0003
86: 00ca
87: 00ca
88: 0003
89: 0000
8a: 0000
8b: 0000
8c: 0000
8d: 0000
8e: 0000
8f: 0000
90: 0002
91: 0003
92: 0081
93: 1200
94: 0000
95: 0000
96: 0000
97: 0000
98: 3b20
99: 0010
9a: 3b20
9b: 0040
9c: 3b20
9d: 0020
9e: 3b20
9f: 0008
a0: 00c0
a1: 0000
a2: 0000
a3: 0000
a4: 0000
a5: 0000
a6: 0000
a7: 0000
a8: 0000
a9: 0000
aa: 0000
ab: 0000
ac: 0000
ad: 0000
ae: 0000
af: 0000
b0: 4c00
b1: 0000
b2: 0000
b3: 0000
b4: 0000
b5: 0000
b6: 0000
b7: 0000
b8: 0000
b9: 0000
ba: 0000
bb: 0000
bc: 0000
bd: 0000
be: 0000
bf: 0000
c0: 0ff8
c1: 0000
c2: 0000
c3: 0001
c4: 0001
c5: 0000
c6: 008e
c7: 0000
c8: 0000
c9: 0aaa
ca: 0000
cb: 0000
cc: 0000
cd: 87e0
ce: 9a02
cf: 2d92
d0: 0062
d1: 0580
d2: 0ff0
d3: 0140
d4: 0000
d5: 0000
d6: 0000
d7: 0000
d8: 0000
d9: 0000
da: 0000
db: 0000
dc: 0000
dd: 0000
de: 0000
df: 0000
e0: 0000
e1: 0000
e2: 0000
e3: 0000
e4: 0000
e5: 0000
e6: 0000
e7: 0000
e8: 0000
e9: 0000
ea: 0000
eb: 0000
ec: 0000
ed: 0000
ee: 0000
ef: 0000
f0: 0003
f1: ffff
f2: 2820
f3: f0f0
f4: 21e6
f5: 19b3
f6: 7b7f
f7: 7f73
f8: 0600
f9: 0100
fa: 8e08
fb: fc9a
fc: 4288
fd: 9404
fe: 0000
ff: 0000
