rootfs on / type rootfs (rw,seclabel,size=1751676k,nr_inodes=437919)
tmpfs on /dev type tmpfs (rw,seclabel,nosuid,relatime,mode=755)
devpts on /dev/pts type devpts (rw,seclabel,relatime,mode=600)
proc on /proc type proc (rw,relatime,gid=3009,hidepid=2)
sysfs on /sys type sysfs (rw,seclabel,relatime)
selinuxfs on /sys/fs/selinux type selinuxfs (rw,relatime)
tmpfs on /mnt type tmpfs (rw,seclabel,nosuid,nodev,noexec,relatime,mode=755,gid=1000)
/dev/block/mmcblk0p62 on / type ext4 (ro,seclabel,nodev,relatime,discard)
tmpfs on /apex type tmpfs (rw,seclabel,nosuid,nodev,noexec,relatime,mode=755)
tmpfs on /linkerconfig type tmpfs (rw,seclabel,nosuid,nodev,noexec,relatime,mode=755)
tmpfs on /mnt/installer type tmpfs (rw,seclabel,nosuid,nodev,noexec,relatime,mode=755,gid=1000)
tmpfs on /mnt/androidwritable type tmpfs (rw,seclabel,nosuid,nodev,noexec,relatime,mode=755,gid=1000)
/dev/block/mmcblk0p62 on /apex/com.android.adbd type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.appsearch type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.art type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.cellbroadcast type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.conscrypt type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.extservices type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.i18n type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.ipsec type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.media type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.media.swcodec type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.mediaprovider type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.neuralnetworks type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.os.statsd type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.permission type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.resolv type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.runtime type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.scheduling type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.sdkext type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.tethering type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.tzdata type ext4 (ro,seclabel,relatime,discard)
/dev/block/mmcblk0p62 on /apex/com.android.wifi type ext4 (ro,seclabel,relatime,discard)
none on /dev/blkio type cgroup (rw,nosuid,nodev,noexec,relatime,blkio)
none on /dev/cpuctl type cgroup (rw,nosuid,nodev,noexec,relatime,cpu)
none on /dev/cpuset type cgroup (rw,nosuid,nodev,noexec,relatime,cpuset,noprefix,release_agent=/sbin/cpuset_release_agent)
none on /dev/memcg type cgroup (rw,nosuid,nodev,noexec,relatime,memory)
tmpfs on /linkerconfig type tmpfs (rw,seclabel,nosuid,nodev,noexec,relatime,mode=755)
tracefs on /sys/kernel/tracing type tracefs (rw,seclabel,relatime,gid=3012)
debugfs on /sys/kernel/debug type debugfs (rw,seclabel,relatime)
none on /config type configfs (rw,nosuid,nodev,noexec,relatime)
none on /sys/fs/fuse/connections type fusectl (rw,relatime)
pstore on /sys/fs/pstore type pstore (rw,seclabel,nosuid,nodev,noexec,relatime)
tracefs on /sys/kernel/debug/tracing type tracefs (rw,seclabel,relatime,gid=3012)
/dev/block/mmcblk0p63 on /data type ext4 (rw,seclabel,nosuid,nodev,noatime,journal_checksum,journal_async_commit,nobarrier,noauto_da_alloc,data=ordered)
/dev/block/mmcblk0p61 on /cache type ext4 (rw,seclabel,nosuid,nodev,noatime,journal_checksum,journal_async_commit,nobarrier,noauto_da_alloc,data=ordered)
/dev/block/mmcblk0p53 on /carrier type ext4 (rw,seclabel,nosuid,nodev,noatime,data=ordered)
/dev/block/mmcblk0p31 on /firmware/adsp type vfat (ro,relatime,uid=1000,gid=1000,fmask=0337,dmask=0227,codepage=437,iocharset=iso8859-1,shortname=lower,errors=remount-ro)
/dev/block/mmcblk0p30 on /firmware/radio type vfat (ro,relatime,uid=1000,gid=1000,fmask=0337,dmask=0227,codepage=437,iocharset=iso8859-1,shortname=lower,errors=remount-ro)
/dev/block/mmcblk0p33 on /firmware/slpi type vfat (ro,relatime,uid=1000,gid=1000,fmask=0337,dmask=0227,codepage=437,iocharset=iso8859-1,shortname=lower,errors=remount-ro)
/dev/block/mmcblk0p36 on /firmware/venus type vfat (ro,relatime,uid=1000,gid=1000,fmask=0337,dmask=0227,codepage=437,iocharset=iso8859-1,shortname=lower,errors=remount-ro)
/dev/block/mmcblk0p57 on /system/vendor/dsp type ext4 (ro,seclabel,nosuid,nodev,relatime,data=ordered)
/dev/block/mmcblk0p48 on /mnt/vendor/persist type ext4 (rw,seclabel,nosuid,nodev,noatime,no_sehash_xattr,data=ordered)
/dev/block/mmcblk0p48 on /persist type ext4 (rw,seclabel,nosuid,nodev,noatime,no_sehash_xattr,data=ordered)
/dev/block/mmcblk0p27 on /firmware/wsd type vfat (ro,relatime,uid=3012,gid=3012,fmask=0377,dmask=0277,codepage=437,iocharset=iso8859-1,shortname=lower,errors=remount-ro)
tmpfs on /storage type tmpfs (rw,seclabel,nosuid,nodev,noexec,relatime,mode=755,gid=1000)
/dev/block/mmcblk0p63 on /data/user/0 type ext4 (rw,seclabel,nosuid,nodev,noatime,journal_checksum,journal_async_commit,nobarrier,noauto_da_alloc,data=ordered)
tmpfs on /data_mirror type tmpfs (rw,seclabel,nosuid,nodev,noexec,relatime,mode=700,gid=1000)
/dev/block/mmcblk0p63 on /data_mirror/data_ce/null type ext4 (rw,seclabel,nosuid,nodev,noatime,journal_checksum,journal_async_commit,nobarrier,noauto_da_alloc,data=ordered)
/dev/block/mmcblk0p63 on /data_mirror/data_ce/null/0 type ext4 (rw,seclabel,nosuid,nodev,noatime,journal_checksum,journal_async_commit,nobarrier,noauto_da_alloc,data=ordered)
/dev/block/mmcblk0p63 on /data_mirror/data_de/null type ext4 (rw,seclabel,nosuid,nodev,noatime,journal_checksum,journal_async_commit,nobarrier,noauto_da_alloc,data=ordered)
/dev/block/mmcblk0p63 on /data_mirror/cur_profiles type ext4 (rw,seclabel,nosuid,nodev,noatime,journal_checksum,journal_async_commit,nobarrier,noauto_da_alloc,data=ordered)
/dev/block/mmcblk0p63 on /data_mirror/ref_profiles type ext4 (rw,seclabel,nosuid,nodev,noatime,journal_checksum,journal_async_commit,nobarrier,noauto_da_alloc,data=ordered)
adb on /dev/usb-ffs/adb type functionfs (rw,relatime)
/dev/block/mmcblk0p62 on /apex/com.android.media.swcodec/etc/ld.config.txt type ext4 (ro,seclabel,nodev,relatime,discard)
/dev/block/mmcblk0p62 on /system/apex/com.android.media.swcodec/etc/ld.config.txt type ext4 (ro,seclabel,nodev,relatime,discard)
/data/media on /mnt/runtime/default/emulated type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=1015,multiuser,mask=6,derive_gid,default_normal)
/data/media on /mnt/runtime/read/emulated type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=9997,multiuser,mask=23,derive_gid,default_normal)
/data/media on /mnt/runtime/write/emulated type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=9997,multiuser,mask=7,derive_gid,default_normal)
/data/media on /mnt/runtime/full/emulated type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=9997,multiuser,mask=7,derive_gid,default_normal)
/dev/fuse on /mnt/user/0/emulated type fuse (rw,lazytime,nosuid,nodev,noexec,noatime,user_id=0,group_id=0,allow_other)
/dev/fuse on /mnt/installer/0/emulated type fuse (rw,lazytime,nosuid,nodev,noexec,noatime,user_id=0,group_id=0,allow_other)
/dev/fuse on /mnt/androidwritable/0/emulated type fuse (rw,lazytime,nosuid,nodev,noexec,noatime,user_id=0,group_id=0,allow_other)
/dev/fuse on /storage/emulated type fuse (rw,lazytime,nosuid,nodev,noexec,noatime,user_id=0,group_id=0,allow_other)
